ID,tanggal_waktu,suhu,beban_listrik,kecepatan_angin,tekanan_udara,dampak_lingkungan,konsumsi_listrik
0,2021-09-17 00:00:00,15.9,-17.1,571.91,1003.0,A,216.0
1,2021-09-17 01:00:00,15.5,-19.3,575.04,996.0,A,210.0
2,2021-09-17 02:00:00,15.1,-20.0,578.435,1000.0,A,225.0
3,2021-09-17 03:00:00,15.9,-17.1,582.58,995.0,A,216.0
4,2021-09-17 04:00:00,15.9,-19.3,586.6,1005.0,A,222.0
5,2021-09-17 05:00:00,16.3,-19.3,2.79,1013.0,A,216.0
6,2021-09-17 06:00:00,14.7,-17.1,4.38,1006.0,A,219.0
7,2021-09-17 07:00:00,15.9,-17.9,7.635,997.0,A,222.0
8,2021-09-17 08:00:00,16.3,-18.6,12.055,1012.0,A,219.0
9,2021-09-17 09:00:00,16.7,-16.4,17.975,1002.0,A,222.0
10,2021-09-17 10:00:00,18.3,-17.1,23.035,1008.0,A,201.0
11,2021-09-17 11:00:00,17.8,-17.9,28.205,1003.0,A,204.0
12,2021-09-17 12:00:00,19.1,-15.0,31.725,998.0,A,210.0
13,2021-09-17 13:00:00,18.7,-14.3,35.62,1008.0,A,216.0
14,2021-09-17 14:00:00,20.2,-15.0,40.915,999.0,A,216.0
15,2021-09-17 15:00:00,19.4,-14.3,44.56,997.0,A,216.0
16,2021-09-17 16:00:00,19.8,-16.4,48.44,1009.0,A,213.0
17,2021-09-17 17:00:00,18.3,-18.6,50.355,1003.0,A,198.0
18,2021-09-17 18:00:00,18.3,-16.4,53.235,1007.0,A,198.0
19,2021-09-17 19:00:00,18.7,-16.4,56.365,996.0,A,213.0
20,2021-09-17 20:00:00,17.8,-17.1,59.87,997.0,A,216.0
21,2021-09-17 21:00:00,18.7,-15.7,63.515,996.0,A,222.0
22,2021-09-17 22:00:00,17.1,-15.7,67.41,1015.0,A,210.0
23,2021-09-17 23:00:00,16.7,-16.4,72.08,1012.0,A,216.0
24,2021-09-18 00:00:00,17.4,-14.3,76.35,1003.0,A,210.0
25,2021-09-18 01:00:00,17.8,-17.1,5.77,1011.0,A,231.0
26,2021-09-18 02:00:00,17.4,-14.3,10.065,1000.0,A,210.0
27,2021-09-18 03:00:00,16.3,-15.7,5.52,997.0,A,213.0
28,2021-09-18 04:00:00,16.3,-14.3,4.77,1016.0,A,204.0
29,2021-09-18 05:00:00,17.4,-16.4,9.665,1015.0,A,222.0
30,2021-09-18 06:00:00,17.4,-17.9,6.17,1015.0,A,210.0
31,2021-09-18 07:00:00,16.7,-17.9,5.27,1003.0,A,210.0
32,2021-09-18 08:00:00,16.7,-17.1,10.44,1017.0,A,198.0
33,2021-09-18 09:00:00,17.8,-17.9,14.335,1011.0,A,204.0
34,2021-09-18 10:00:00,18.3,-17.9,18.23,1005.0,A,225.0
35,2021-09-18 11:00:00,18.3,-13.6,22.625,1009.0,A,213.0
36,2021-09-18 12:00:00,18.3,-14.3,25.005,1016.0,A,204.0
37,2021-09-18 13:00:00,20.2,-13.6,2.415,1001.0,A,237.0
38,2021-09-18 14:00:00,19.4,-17.1,4.305,1005.0,A,210.0
39,2021-09-18 15:00:00,19.1,-15.0,5.195,1011.0,A,234.0
40,2021-09-18 16:00:00,20.2,-16.4,5.835,1010.0,A,243.0
41,2021-09-18 17:00:00,19.4,-17.1,6.225,999.0,A,234.0
42,2021-09-18 18:00:00,19.1,-17.1,2.54,1011.0,A,240.0
43,2021-09-18 19:00:00,17.8,-13.6,1.64,996.0,A,276.0
44,2021-09-18 20:00:00,18.3,-14.3,1.765,1007.0,A,264.0
45,2021-09-18 21:00:00,17.8,-15.0,2.39,995.0,A,270.0
46,2021-09-18 22:00:00,17.4,-13.6,3.405,1005.0,A,282.0
47,2021-09-18 23:00:00,17.4,-15.0,4.545,995.0,A,258.0
48,2021-09-19 00:00:00,17.8,-15.7,2.14,1011.0,A,249.0
49,2021-09-19 01:00:00,17.4,-12.1,3.28,1002.0,A,270.0
50,2021-09-19 02:00:00,16.7,-14.3,4.295,996.0,A,288.0
51,2021-09-19 03:00:00,17.4,-12.9,4.4350000000000005,1002.0,A,348.0
52,2021-09-19 04:00:00,16.3,-13.6,1.515,1004.0,A,396.0
53,2021-09-19 05:00:00,16.3,-15.0,1.64,1005.0,A,414.0
54,2021-09-19 06:00:00,16.3,-12.1,2.765,995.0,A,381.0
55,2021-09-19 07:00:00,17.1,-15.0,2.015,999.0,A,411.0
56,2021-09-19 08:00:00,16.7,-15.7,4.555,999.0,A,381.0
57,2021-09-19 09:00:00,16.7,-12.1,1.765,995.0,A,324.0
58,2021-09-19 10:00:00,18.3,-15.0,2.14,994.0,A,327.0
59,2021-09-19 11:00:00,19.1,-10.7,2.39,994.0,A,300.0
60,2021-09-19 12:00:00,19.4,-12.9,1.765,1009.0,A,312.0
61,2021-09-19 13:00:00,19.1,-12.9,2.655,1006.0,A,333.0
62,2021-09-19 14:00:00,20.2,-12.9,4.295,1004.0,A,372.0
63,2021-09-19 15:00:00,19.4,-14.3,3.29,995.0,A,417.0
64,2021-09-19 16:00:00,19.4,-14.3,2.14,999.0,A,423.0
65,2021-09-19 17:00:00,18.3,-14.3,2.965,989.0,A,414.0
66,2021-09-19 18:00:00,18.3,-12.9,2.015,1008.0,A,396.0
67,2021-09-19 19:00:00,18.3,-14.3,3.405,996.0,A,486.0
68,2021-09-19 20:00:00,17.1,-15.0,3.92,1000.0,A,519.0
69,2021-09-19 21:00:00,16.7,-15.7,2.2,1001.0,A,447.0
70,2021-09-19 22:00:00,17.1,-13.6,2.59,998.0,A,474.0
71,2021-09-19 23:00:00,16.3,-15.0,2.79,1009.0,A,459.0
72,2021-09-20 00:00:00,15.5,-12.1,3.43,993.0,A,462.0
73,2021-09-20 01:00:00,16.3,-12.9,1.45,998.0,A,504.0
74,2021-09-20 02:00:00,15.9,-15.7,4.755,996.0,A,384.0
75,2021-09-20 03:00:00,17.1,-15.0,6.045,994.0,A,342.0
76,2021-09-20 04:00:00,15.1,-15.7,6.935,993.0,A,276.0
77,2021-09-20 05:00:00,15.5,-12.9,8.975,997.0,A,261.0
78,2021-09-20 06:00:00,15.5,-14.3,11.14,997.0,A,273.0
79,2021-09-20 07:00:00,16.3,-14.3,2.39,1000.0,A,279.0
80,2021-09-20 08:00:00,15.1,-15.0,3.165,1001.0,A,240.0
81,2021-09-20 09:00:00,16.7,-12.1,2.915,996.0,A,273.0
82,2021-09-20 10:00:00,17.8,-12.9,2.39,995.0,A,276.0
83,2021-09-20 11:00:00,18.3,-12.9,2.53,998.0,A,312.0
84,2021-09-20 12:00:00,18.7,-14.3,3.67,996.0,A,294.0
85,2021-09-20 13:00:00,19.8,-11.4,5.4350000000000005,1005.0,A,288.0
86,2021-09-20 14:00:00,20.2,-12.9,5.005,993.0,A,300.0
87,2021-09-20 15:00:00,20.6,-13.6,10.815,1000.0,A,303.0
88,2021-09-20 16:00:00,20.2,-15.7,14.86,987.0,A,255.0
89,2021-09-20 17:00:00,19.8,-15.0,22.635,1004.0,A,279.0
90,2021-09-20 18:00:00,20.6,-15.0,29.935,986.0,A,270.0
91,2021-09-20 19:00:00,19.8,-13.6,36.96,1002.0,A,252.0
92,2021-09-20 20:00:00,18.7,-16.4,45.11,993.0,A,
93,2021-09-20 21:00:00,19.8,-15.0,52.66,994.0,A,231.0
94,2021-09-20 22:00:00,18.7,-17.9,59.435,1000.0,A,246.0
95,2021-09-20 23:00:00,19.1,-15.0,68.235,1008.0,A,231.0
96,2021-09-21 00:00:00,17.4,-15.7,77.425,993.0,A,228.0
97,2021-09-21 01:00:00,18.7,-16.4,86.255,997.0,A,210.0
98,2021-09-21 02:00:00,17.8,-18.6,95.96,991.0,A,213.0
99,2021-09-21 03:00:00,17.8,-17.9,105.9,991.0,A,213.0
100,2021-09-21 04:00:00,17.8,-17.9,114.09,1009.0,A,231.0
101,2021-09-21 05:00:00,17.4,-18.6,124.795,1001.0,A,225.0
102,2021-09-21 06:00:00,16.7,-17.1,130.82,996.0,A,210.0
103,2021-09-21 07:00:00,16.3,-19.3,138.72,1011.0,A,201.0
104,2021-09-21 08:00:00,17.8,-17.9,147.285,1005.0,A,213.0
105,2021-09-21 09:00:00,16.7,-17.1,156.475,1011.0,A,204.0
106,2021-09-21 10:00:00,17.1,-19.3,165.79,996.0,A,204.0
107,2021-09-21 11:00:00,18.3,-18.6,174.355,1004.0,A,204.0
108,2021-09-21 12:00:00,17.8,-19.3,184.185,1003.0,A,198.0
